salah,benar
yuk,ayo
yukk,ayo
yuu,ayo
ayuuu,ayu
ayuuuuu,ayu
bcot,bacot
baday,badai
bdn,badan
bodi,badan
body,badan
abgi,bagi
bgi,bagi
bgian,bagian
part,bagian
sideboobnya,bagian samping payudara
share,bagikan
bagis,bagus
baguss,bagus
bagusss,bagus
bagussss,bagus
best,bagus
bgs,bagus
bgus,bagus
bguus,bagus
cuco,bagus
cucok meong,bagus
good,bagus
nice,bagus
bagus2,bagus bagus
bagusy,bagus ya
bgusan,bagusan
bahh,bah
bahagi,bahagia
bahagiiaaa,bahagia
bhgia,bahagia
sumringah,bahagia
bhann,bahan
bacol,bahan coli
gawaatt,bahaya
bahengol,bahenol
even thru,bahkan melalui
baek,baik
baek2,baik baik
bajuu,baju
bju,baju
dres,baju
bajuny,bajunya
bajunyaa,bajunya
racing,balap
balonny,balonnya
balonya,balonnya
bolannya,balonnya
mbanding,banding
baanngg,bang
bangg,bang
banggg,bang
bg,bang
ngab,bang
amat,banget
amet,banget
bangaett,banget
bangat,banget
bangattttttt,banget
bangd,banget
banged,banget
bangeeet,banget
bangeeett,banget
bangeeettt,banget
bangeeetttt,banget
bangeet,banget
bangeett,banget
bangen,banget
bangett,banget
bangettt,banget
bangetttt,banget
bangettttt,banget
bangetttttt,banget
bangt,banget
bat,banget
bbget,banget
bed,banget
beeed,banget
bengit,banget
bet,banget
bett,banget
beud,banget
beut,banget
bgd,banget
bget,banget
bgt,banget
bgtt,banget
bgttt,banget
bgtttt,banget
bgttttttt,banget
bgttttttttt?,banget
bingit,banget
bingits,banget
bingitt,banget
bingittttt,banget
bngd,banget
bnget,banget
bngett,banget
bngettt,banget
bngt,banget
bngtt,banget
buanget,banget
buuaangettt,banget
nian,banget
pisan,banget
pol,banget
poll,banget
polll,banget
teing,banget
tenam,banget
tenan,banget
proud,bangga
proudd,bangga
banggakn,banggakan
bangkee,bangkai
bngun,bangun
banjiiirr,banjir
banjirr,banjir
Bansosssss,bansos
bansos,bantuan sosial
banya,banyak
banyaa,banyak
baxak,banyak
bnyak,banyak
bnyk,banyak
byk,banyak
multi,banyak
bapa,bapak
bapack,bapak
bapak,bapak
bapk,bapak
bokap,bapak
bpk,bapak
bpm,bapak
mrka,bapak
p,bapak
pa,bapak
pk,bapak
barnag,barang
barby,barbie
anyar,baru
baruuu,baru
bru,baru
cancle,batalkan
batangy,batangnya
batre,baterai
bau2,bau bau
gondol,bawa
bapeer,bawa perasaan
baper,bawa perasaan
bwah,bawah
bawangggggh,bawang
bombai,bawang
bayangno,bayangan
byakugan,bayangan
byangan,bayangan
baby,bayi
bayii,bayi
bayiii,bayi
byi,bayi
orok,bayi
bayinyaa,bayinya
bebs,beb
bep,beb
bberapa,beberapa
bbrapa,beberapa
canda,becanda
beceekkkkk,becek
becekk,becek
bd,beda
bda,beda
beza,beda
bedany,bedanya
beginiii,begini
bgini,begini
bginian,beginian
bginiann,beginian
begtu,begitu
bgitu,begitu
bgtu,begitu
bgtuh,begitu
ngono,begitu
behh,beh
bekep,bekap
belahh,belah
belahaan,belahan
belahann,belahan
belahannyaa,belahannya
belahannyaaaa,belahannya
belahannyan,belahannya
belhannya,belahannya
belah'e,belahnya
belajarrr,belajar
bljr,belajar
belakanh,belakang
belakay,belakang
blakang,belakang
blkg,belakang
bli,beli
beliam,beliau
belom,belum
belumm,belum
belun,belum
blm,belum
bloem,belum
blom,belum
blum,belum
wetek,benangku
weteku,benangku
bener,benar
benr,benar
benrr,benar
bner,benar
bnr,benar
bnr2,benar benar
bneran,benaran
bnran,benaran
really,benar-benar
haters,benci
benchong,bencong
benrr,bener
bner,bener
bnr2,bener bener
beneraan,beneran
bntar,bentar
bntuk,bentuk
bentukannta,bentukannya
bntuknya,bentuknya
religius,beragama
bakem,berair
ber4k,berak
beraktifitas,beraktivitas
brgkt,berangkat
brani,berani
bravo,berani
bleber,berantakan
brantem,berantem
brapa,berapa
brp,berapa
brpa,berapa
berrti,berarti
brati,berarti
beraaattt,berat
berattt,berat
beratn,beratan
gondal gandul,berayun ayun
berbwlah,berbelah
bcnda,bercanda
becanda,bercanda
becandaa,bercanda
berdemeg,berdamage
stand up,berdiri
tegak,berdiri
bdua,berdua
ber2,berdua
njlarit,bergaris
trendy,bergaya
brgetar,bergetar
ngehalu,berhalusinasi
berenti,berhenti
stop,berhenti
paringi,beri
spil,beri tahu
giveaway,berikan saja
berkahhh,berkah
berkelaas,berkelas
belipet,berlipat
brpnmpilan,berpenampilan
glowing,berpijar
thinking,berpikir
positifthinking,berpikir positif
berfisah,berpisah
brsama,bersama
bersatuu,bersatu
brsih,bersih
bersyukurr,bersyukur
bertaubatla,bertaubah lah
brtaubat,bertaubat
beruangnay,beruangnya
brubah,berubah
brubh,berubah
berulanh,berulang
ageng,besar
besaar,besar
besaq,besar
besarr,besar
big,besar
bigg,besar
bsar,besar
edee,besar
gde,besar
gde,besar
gede,besar
gedek,besar
gedi,besar
geeedeeee,besar
getong,besar
gude,besar
gede2,besar besar
gdean,besaran
gede2,besar-besar
gedein,besarin
bsok,besok
bsoknya,besoknya
btapa,betapa
btul,betul
beha,bh
bhny,bhnya
biyar,biar
bjar,biar
b,biasa
biaasa,biasa
biasaa,biasa
biasaaa,biasa
b aja,biasa saja
biasawx,biasanya
b*bir,bibir
bbr,bibir
bijix,bijinya
bikinn,bikin
bkin,bikin
bkn,bikin
bilgn,bilang
bilng,bilang
blg,bilang
bgung,bingung
bis,bisa
bisaa,bisa
bs,bisa
bsa,bisa
sabi,bisa
block,blokir
bodo,bodoh
bohayy,bohay
boong,bohong
bo'ong,bohong
boongin,bohongin
bkp,bokep
bogep,bokep
boke*,bokep
bokeeeppp,bokep
bokeep,bokep
bokeppnya,bokepnya
bokonge,bokongnya
blh,boleh
bole,boleh
bolehhh,boleh
bonekany,bonekanya
oprek,bongkar
bosque,bos
boss,bos
bosss,bos
bosq,bos ku
bosqu,bos ku
bosenny,bosennya
bossku,bosku
brebbes,brebes
brownis,brownies
booo,bu
bukk,bu
maakkkkk,bu
buratu,bu ratu
fruits,buah buahan
bikin,buat
bt,buat
bwt,buat
wt,buat
buatn,buatan
buatna,buatnya
b*g*l,bugil
bukak,buka
bula,buka
open,buka
bkan,bukan
bkn,bukan
non,bukan
bln,bulan
buln,bulan
bolatt,bulat
buleett,bulat
bulet,bulat
bulett,bulat
bulketnya,bulu keteknya
bempernya,bumper nya
bukkk,bunda
bun,bunda
buna,bunda
bunaaaa,bunda
bund,bunda
bundaa,bunda
bunddddddd,bunda
buuun,bunda
mom,bunda
momy,bunda
yunda,bunda
bunder,bundar
bunderannya,bundarannya
buntelan,bundelan
bughung,burung
murai,burung kecil
buringnya,burungnya
buwungnya,burungnya
bujed,buset
buseet,buset
bust,buset
cabe,cabai
cabull,cabul
cabullll,cabul
sc,caesar
Cakeeeeppppp,cakep
cakepp,cakep
ckep,cakep
capres,calon presiden
blendrang,campuran
ayu,cantik
beautiful,cantik
cakep,cantik
cant,cantik
cantiiiiiiik,cantik
cantiiiik,cantik
cantiiik,cantik
cantiik,cantik
cantiikk,cantik
cantikk,cantik
cantikkk,cantik
cantikkkk,cantik
cantikkkkk,cantik
cantiq,cantik
cantyik,cantik
catik,cantik
centik,cantik
chantik,cantik
chyaantiik,cantik
cntiik,cantik
cntik,cantik
cntikk,cantik
cntk,cantik
cuanntiiikk,cantik
cuantiiikk,cantik
cuantikkkkk,cantik
cuantikkkkkk,cantik
cuwantek,cantik
gelis,cantik
geulis,cantik
pretty,cantik
santikkkkk,cantik
syantiikkk,cantik
syantik,cantik
cantik2,cantik cantik
cakepan,cantikan
cantiiknya,cantiknya
cantikny,cantiknya
cntiknya,cantiknya
capeek,cape
cape,capek
cekal,cegah
clna,celana
cangcut,celana dalam
cawet,celana dalam
cd,celana dalam
kancut,celana dalam
kancutnya,celana dalam
sempak,celana dalam
sempak e,celana dalam nya
cindikian,cendikian
centng,centang
cepakk,cepak
cepakkk,cepak
cepaat,cepat
cepet,cepat
cpet,cepat
cpt,cepat
ceplaakkkk,ceplak
cerfdas,cerdas
story,cerita
ceptakan,cetakan
cew,cewek
cewe,cewek
cw,cewek
cwe,cewek
cwek,cewek
cwk,cewek
ciwiciwi,cewek cewek
chatingan,chattingan
ciee,cie
cintap,cinta
loppp,cinta
love,cinta
loveeee,cinta
luv,cinta
cipokk,cipok
ciptaaan,ciptaan
ciptakan,ciptaan
ciri2,ciri ciri
image,citra
kisss,cium
nyium,cium
cb,coba
cba,coba
cbak,coba
cobak,coba
cocol,cocok
cucok,cocok
coklat,cokelat
coklt,cokelat
colay,coli
colii,coli
colll,coli
copid,covid
couo,cowok
cow,cowok
cowo,cowok
cwo,cowok
cwok,cowok
cowok2,cowok cowok
cowonya,cowoknya
crooooot,crot
crooot,crot
croot,crot
croott,crot
crott,crot
crotttt,crot
cubitt,cubit
coy,cui
ckup,cukup
ckur,cukur
cm,Cuma
cma,cuma
cmn,cuma
cuman,cuma
cumn,cuma
cuppang,cupang
cok,cuy
cokkk,cuy
cuk,cuy
cuuyyy,cuy
cuyy,cuy
cuyyy,cuy
ngab,cuy
blacklist,daftar hitam
dach,dah
dalah,dalam
dalamm,dalam
dalammmm,dalam
dalem,dalam
dalm,dalam
dlaam,dalam
dlam,dalam
dlm,dalam
on the way,dalam perjalanan
otewe,dalam perjalanan
otw,dalam perjalanan
dalamannmu,dalamanmu
dalemanya,dalamannya
dalamny,dalamnya
dalemny,dalamnya
dalemnya,dalamnya
dlemnya,dalamnya
and,dan
daaan,dan
dab,dan
dn,dan
n,dan
dkk,dan kawan-kawan
dll,dan lain lain
dapet,dapat
dapt,dapat
dpt,dapat
nemu,dapat
dptn,dapatin
dapatnyaaa,dapatnya
dr,dari
dri,dari
dr mn,dari mana
onlen,daring
online,daring
dripd,daripada
drpd,daripada
dsr,dasar
basicnya,dasarnya
dasix,dasinya
dateng,datang
dataar,datar
defini,definisi
definis,definisi
daah,deh
dah,deh
dech,deh
dehh,deh
dehhh,deh
deket,dekat
dkt,dekat
dekatkiamat,dekat kiamat
dg,dengan
dgan,dengan
dgn,dengan
dng,dengan
dngan,dengan
with,dengan
denger,dengar
dpn,depan
drjat,derajat
dewaa,dewa
d,di
dbuka,di buka
ddlm,di dalam
didpn,di depan
dientod,di entot
dientot,di entot
diig,di instagram
djamin,di jamin
djepit,di jepit
dimn,di mana
dmna,di mana
dzoom,di perbesar
disna,di sana
ditmpt,di tempat
dese,dia
die,dia
dy,dia
dya,dia
diending,diakhir
diakhirt,diakhirat
diem,diam
dibls,dibalas
diblkang,dibelakang
dibecandain,dibercandain
diparingi,diberi
dbkin,dibikin
didlm,didalam
dido'ain,didoain
dibully,diganggu
diih,dih
dicepit,dijepit
dijuaall,dijual
dijuaalll,dijual
dk,dik
dikamr,dikamar
dk,dikamar
diksh,dikasih
dikelolah,dikelula
diikit,dikit
dlncrkn,dilancarkan
dilntik,dilantik
diliatin,dilihatin
dilipek,dilipat
dislempitin,dilipat
d mana,dimana
dimn,dimana
dimna,dimana
dm,dimana
dmn,dimana
dmna,dimana
dimemory,dimemori
dipahax,dipahanya
dipake,dipakai
dipamerr,dipamer
difikirkan,dipikirkan
diputer,diputar
dirapihkan,dirapikan
dremes,diremes
derrahayu,dirgahayu
keep,disimpan
dimari,disini
dicokok,ditangkap
ditindiin,ditindihin
dttup,ditutup
diumoetin,diumpetin
difidioin,divideoin
doakuu,doaku
doerr,doer
doggi,doggy
dogi,doggy
dogy,doggy
dmpet,dompet
dmpetku,dompet aku
atauh,dong
ath,dong
atuh,dong
ding,dong
dng,dong
dongg,dong
dongk,dong
donk,dong
donkk,dong
dooongs,dong
dunk,dong
duunk,dong
dongjg,dong juga
dosaaa,dosa
dosaaaa,dosa
bumm,duh
dduuhh,duh
duuh,duh
duuhh,duh
duwit,duit
support,dukung
suport,dukungan
support,dukungan
dl,dulu
dlu,dulu
duluu,dulu
dlnya,dulunya
dlunya,dulunya
dumay,dunia maya
dorasi,durasi
duren,durian
durenn,durian
durenyanya,duriannya
e,eh
eeh,eh
eehh,eh
eehhh,eh
ehh,eh
ehhh,eh
ehhhh,eh
eitss,eh
eyyyu,eh
expresi,ekspresi
esxpresinya,ekspresinya
expresinya,ekspresinya
elegant,elegan
ngelus,elus
luslus,elus elus
emangg,emang
emg,emang
emng,emang
emnk,emang
mang,emang
esmosi,emosi
esmosinya,emosinya
emote,emot
delocious,enak
ena,enak
enaak,enak
endul,enak
enk,enak
enyak,enak
josss,enak
sadap,enak
sedapppp,enak
uenak,enak
ena2,enak enak
enakx,enaknya
ntah,entah
entalah,entahlah
ntahlah,entahlah
ntr,entar
tar,entar
en***,entot
entod,entot
afisode,episode
erat2,erat erat
erorr,eror
fens,fans
fovorite,favorit
fikss,fiks
fix,fiks
fixs,fiks
pelem,film
focus,fokus
pokus,fokus
polow,follow
fto,foto
photo,foto
poto,foto
fotona,fotonya
potonya,fotonya
epyepe,fyp
gadingg,gading
gaga,gagah
ghoib,gaib
goib,gaib
goip,gaib
gaes,gais
gaessss,gais
bully,ganggu
bullyyy,ganggu
picek,gangguan
lenjeeee,ganjen
gnti,ganti
gnti2,ganti ganti
gantiaan,gantian
gr,gara
gra,gara
gerang,garang
gaas,gas
gass,gas
gatel,gatal
gatell,gatal
dres,gaun
style,gaya
gya2an,gaya gayaan
stylex,gayanya
glantungan,gelantungan
gelayy,geli
gemasss,gemas
gemees,gemas
gemes,gemas
gemeshhh,gemas
gemesss,gemas
gemeyyy,gemas
gemoy,gemas
gemoyyy,gemas
gemsh,gemas
gmess,gemas
excited,gembira
gmz,gemes
gumusshh,gemes
gemezin,gemesin
gemeternya,gemetarnya
gembroott,gendut
genjott,genjot
gerak2,gerak gerak
slowmo,gerak lambat
gesek2kan,gesek gesekan
getarr,getar
geter,getar
getaranny,getarannya
geternya,getarnya
edan,gila
edyaan,gila
gilaa,gila
gilaaaaa,gila
gilee,gila
g mana,gimana
gaimn,gimana
gimanaaaa,gimana
gimanain,gimana
gimna,gimana
gimna,gimana
gmana,gimana
gmn,gimana
gmna,gimana
gmne,gimana
ginih,gini
gni,gini
kieu,gini
gisell,gisel
gisellll,gisel
gizel,gisel
gosel,gisel
iseeeel,gisel
isell,gisel
gituhhh,gitu
gituu,gitu
gituuu,gitu
gituuuu,gitu
gt,gitu
gth,gitu
gtu,gitu
gtuuu,gitu
gitu2,gitu gitu
glwing,glowing
goblokk,goblok
gombeel,gombel
horden,gorden
hordenya,gordennya
gorengya,gorengnya
gosongd,gosong
gotix,gotik
gyg,goyang
gyng,goyang
shake,goyang
tagoyang,goyang
goyang2,goyang goyang
goyangane,goyangannya
goyanganx,goyangannya
goyangany,goyangannya
goyanganya,goyangannya
goyangiiiiinnnn,goyangin
gumooooh,gumoh
g*nug,gunung
gunungg,gunung
gunungx,gunungnya
gurihhh,gurih
gurihhhh,gurih
guriihhh,gurih
gaes,guys
gaess,guys
gais,guys
gaiysss,guys
ges,guys
gesss,guys
haaa,ha
haah,ha
abis,habis
hbis,habis
hbs,habis
madep,hadap
hadeeeeuhh,hadeh
apal,hafal
hafall,hafal
hapal,hafal
haiii,hai
hay,hai
hayyy,hai
hii,hai
hy,hai
hajarrr,hajar
judge,hakimi
halooooo,halo
alus,halus
smooth,halus
halu,halusinasi
hami,hamil
hamilll,hamil
mil's,hamil
hmpir,hampir
hmpr,hampir
anget,hangat
haneut,hangat
hnya,hanya
hpus,hapus
harom,haram
hri,hari
HPL,Hari Perkiraan Lahir
hut,hari ulang tahun
hrs,harus
hrus,harus
ati,hati
ati2,hati hati
aus,haus
haussss,haus
hauusss,haus
gacor,hebat
hebaaat,hebat
hebaat,hebat
hebatt,hebat
heis,hei
hentii,henti
heraan,heran
entertain,hiburan
jokes,hiburan
idup,hidup
hdupmu,hidupmu
hihiii,hihi
ijo,hijau
ilang,hilang
ilangg,hilang
ilnggg,hilang
hitammm,hitam
hitem,hitam
itam,hitam
iteem,hitam
item,hitam
item2,hitam hitam
itemnya,hitamnya
hobby,hobi
hoby,hobi
yey,hore
hor*y,horny
hor,horor
hoott,hot
hott,hot
hotttt,hot
hape,hp
huuu,hu
buly,hujat
ibaratkn,ibaratkan
bu,ibu
buk,ibu
buu,ibu
emak,ibu
ibuk,ibu
mak,ibu
mamii,ibu
mom,ibu
momy,ibu
bumil,ibu hamil
bumill,ibu hamil
bumils,ibu hamil
bumilss,ibu hamil
ibu2,ibu ibu
busui,ibu menyusui
mamakmu,ibu mu
emaknya,ibunya
mamakny,ibunya
mamaknya,ibunya
idol,idola
idolakuhh,idolaku
idolakuu,idolaku
hiah,ih
hiii,ih
ihh,ih
iih,ih
iiii,ih
iklas,ikhlas
ingut,ikut
ikutab,ikutan
goal,impian
goals,impian
gol,impian
cute,imut
imuot,imut
independent,independen
62,indonesia
indo,indonesia
indonesiaaa,indonesia
tourism industry,industri turis
iget,ingat
ingatt,ingat
inget,ingat
ingt,ingat
nginet,ingat
ingetan,ingatan
ingatankku,ingatanku
ongaktan,ingatkan
ingettt,inget
kepo,ingin tahu
gni,ini
in,ini
inii,ini
iniiih,ini
it,ini
ni,ini
nie,ini
nih,ini
nii,ini
niih,ini
inikh,ini kah
inimah,ini mah
inituu,ini tu
inter,inner
ig,instagram
ige,instagram
bullying,intimidasi
intix,intinya
julid,iri
isinyaa,isinya
islamm,islam
istighafar,istigfar
bini,istri
isteri,istri
it**,itil
anu,itu
it,itu
ituh,itu
itumah,itu
ituu,itu
ituuu,itu
ituuuuu,itu
ono,itu
to,itu
tu,itu
tuh,itu
tuuu,itu
ituloh,itu loh
anumu,itu mu
ia,iya
iyaa,iya
oyeah,iya
yesss,iya
yha,iya
yoii,iya
yakan,iya kan
yekan,iya kan
ijin,izin
ijinkan,izinkan
jadiii,jadi
jd,jadi
jdi,jadi
jadiin,jadikan
jdinya,jadinya
jail,jahil
jaitan,jahitan
jajarannnyaaaa,jajarannya
jkt,jakarta
jln,jalan
way,jalan
chok,jancok
cok,jancok
jancokk,jancuk
jandaa,janda
jan,jangan
jang,jangan
jangannn,jangan
jangn,jangan
jgan,jangan
jgn,jangan
jng,jangan
jngan,jangan
jngn,jangan
boro,jangankan
drop,jatuh
jatoh,jatuh
jwb,jawab
jwbn,jawaban
ceder,jeder
jedderrr ,jeder
jederr,jeder
jederrrrr,jeder
jelass,jelas
jlas,jelas
jls,jelas
buluk,jelek
jemb*t,jembut
jembot,jembut
jendela.a,jendelanya
jepittt,jepit
jepit2an,jepit jepitan
kapok,jera
nyemplung,jerumus
jiga,jika
jk,jika
jilatt,jilat
julatin,jilatin
joged,joget
jogett,joget
jogednya,jogetnya
jorookkk,jorok
josss,jos
judulx,judulnya
jg,juga
jga,juga
jgak,juga
jugaa,juga
jugaaaa,juga
jugak,juga
kuga,juga
uga,juga
jjur,jujur
jujurmah,jujur mah
julidd,julid
janub,junub
cameraman,juru kamera
kameramen,juru kamera
kameramennn,juru kamera
kameramennya,juru kameranya
jt,juta
kbr,kabar
khbrmu,kabarmu
kbrnya,kabarnya
kacauuuu,kacau
kdang,kadang
kdng,kadang
kagettt,kaget
kagettttt,kaget
ba,kak
ci,kak
k,kak
k,kak
ka,kak
kaa,kak
kaaa,kak
kaaaa,kak
kak,kak
kakk,kak
mba,kak
mbak,kak
mbakkk,kak
neng,kak
teh,kak
th,kak
wak,kak
bagisel,kak gisel
ba,kakak
baaang,kakak
babang,kakak
bero,kakak
bggg,kakak
bng,kakak
bor,kakak
emba,kakak
eneng,kakak
ka,kakak
kaa,kakak
kaaaa,kakak
kaj,kakak
kaka,kakak
kakk,kakak
kk,kakak
kk.,kakak
kx,kakak
mas,kakak
masny,kakak
mass,kakak
mb,kakak
mba,kakak
mbaa,kakak
mbak,kakak
mbk,kakak
mpo,kakak
mpok,kakak
neng,kakak
nenk,kakak
ng,kakak
ngab,kakak
ngap,kakak
sis,kakak
sist,kakak
te,kakak
teeh,kakak
teh,kakak
teteh,kakak
tetehh,kakak
tteh,kakak
tth,kakak
mbaknya,kakaknya
kake,kakek
kakiny,kakinya
klah,kalah
circle,kalangan
kalo,kalau
kalu,kalau
kku,kalau
kl,kalau
klau,kalau
klo,kalau
klou,kalau
klsu,kalau
klu,kalau
klw,kalau
kalii,kali
kalleeeee,kali
kli,kali
x,kali
jali,kalian
kalean,kalian
kalia,kalian
kaliaaaaaan,kalian
kaliann,kalian
kaliannnnn,kalian
kelen,kalian
klean,kalian
klian,kalian
camera,kamera
kmra,kamera
camera'a,kameranya
kameranyaa,kameranya
kmi,kami
ndeso,kampungan
at you,kamu
ellu,kamu
elu,kamu
ente,kamu
kammu,kamu
kao,kamu
kau,kamu
km,kamu
kmu,kamu
kw,kamu
lo,kamu
loe,kamu
loo,kamu
lu,kamu
mu,kamu
muu,kamu
qm,kamu
sia,kamu
u,kamu
you,kamu
you are,kamu
youuu,kamu
kmuini,kamu ini
kaan,kan
kann,kan
kannnnn,kan
kd,kan
khaan,kan
khan,kan
kn,kan
xan,kan
miss,kangen
kntr,kantor
kua,kantor urusan agama
ksos,kaos
kapn,kapan
kpan,kapan
kpn,kapan
gegara,karena
gara,karena
karna,karena
krn,karena
krna,karena
career,karir
kjp,kartu jakarta pintar
ksian,kasian
kasi,kasih
ksh,kasih
kasiaan,kasihan
kasian,kasihan
kasyan,kasihan
kesian,kasihan
kshn,kasihan
ksian,kasihan
kt,kata
let say,katakanlah
katany,katanya
ktanya,katanya
ktnya,katanya
bestiii,kawan
boyy,kawan
brayyy,kawan
bro,kawan
gengss,kawan
kawand,kawan
kwan,kawan
say,kawan
kwin,kawin
kaya,kayak
kayaq,kayak
kayk,kayak
kek,kayak
ky,kayak
kya,kayak
kyak,kayak
kyk,kayak
sak,kayak
kayae,kayaknya
kayakx,kayaknya
kayany,kayaknya
kayanya,kayaknya
kayanyaaa,kayaknya
knyka,kayaknya
kyknya,kayaknya
keatas,ke atas
kearah,ke arah
kabalakang,ke belakang
kdepan,ke depan
to the world,ke dunia
kezoom,ke perbesar
kebaikn,kebaikan
kebngetan,kebangetan
kebanggan,kebanggaan
pride,kebanggaan
kbanyakan,kebanyakan
kbwa,kebawa
kbyang,kebayang
kbyng,kebayang
kebayabg,kebayang
kebayng,kebayang
kegedean,kebesaran
kebijakn,kebijakan
keburukn,keburukan
