Komen,klasifikasi
"Klo aku mau minta uang buat beli mukena n sarung,buat anak2 ngaji ku.  Biar teteh dido'ain dpt hidayah n dapet amal jariyahnya",0
Cntk bgtttt ?? seperti dlm film James Bond cewek cewek nya James Bond,0
Interbeauty nya kluar,0
"Aku berharap, kak dinar menghapus semua foto seksi nya dan beralih ke berpakaian syar'i ... ??",0
Pengen jadiin pacar tapi masih nganggur??,0
Sini kak ayook nikah sama aku hehehe??...kan Abah ka @dinar_candy pengen punya mantu hehehe??......NGEHALU TINGKAT DEWA??????,0
Asli cantik...g kaleng2,0
Tante dinar...nikah sama aku aja...,0
Cantik bangett Aaaaaa????,0
cantik dan wanita kuat.,0
"Klo dinar adain saimbara cari calon suami, aku mau ikutan ah.. Siapa tau nyangkut, karena jodoh ga ada yg tau.. Hehe??",0
Sumpah cantik banget gaya begitu @dinar_candy,0
"Jujur saja pngen bilang "" kasihan bapaknya mbk ?? """,0
"NERAKA! Manusia yang mengumbar bagian tubuh nya (aurat) untuk di konsumsi publik, bakat lain selain mengumbar bentuk tubuh apa ada ?? Kalau ada pergunakan dan tutupi auratmu!! Saya mau tanya apa yang anda kejar selama ini ?? Ketenaran ? Uang ? Atau yang lain ?? Jawab dan pikiran di dirimu sendiri! Tobat minta maaf dan minta pengampunan dan minta maaf ke orang tua, kesian orang tua menanggung semua dosa anda, inget ketika orang tua meninggal yang bisa mengirim kan doa cuman orang orang yang sholeh dan sholehah!!",0
Dinar cantik Dan kayaknya orgnya baik hihihi....cuma slh dlm berpakaian aja..hehehe,0
"mau komen pasti gak dibls, soalnya bukan akun centang biru....",0
"Waduhh gk sebanding, mundur aja dech, mumpung gk ketauhan...",0
"Cakep bangettt, aku yg cewe aja seneng liat ka dinar",0
"Pengen deket truss bisa ngobrol panjang kali lebar buat misi visi cerdasin anak bangsa,  bantu2 yg dibawah kita,  tapi kayae ga mungkin ????????",0
"Ka dinar candy tuh cakepan ga pake ponii, malah dahinya bawa aura bgtt????????",0
Pingin ngajak prewed??,0
"Pikirannya, knpa bisa kk sperti ini?? Maaf sbelumnya, mungkin kk kluarga yg memang memiliki tampang yg bagus, tapi syg,",0
ga selevel sih kita ?????? bayangin aja mental otak gw apalagi mikir dan berharap bakal kesampaian ??????,0
"ingin ku katakan, bahwa ""dunia indah sementara"" tapi ""negeri akherat lebih indah dan abadi"".",0
Pen gue nikah i tapi gaji umr :'),0
Pengen aku jadiin istri. Bakalan aku treat kaya princess pokoknya,0
Serasa ingin cepat cepat menghalalkan,0
Jujur... Aku tu pengen nya kamu tu taubat lah... Pakai hijab. Hijrah la.,0
Baik gk sombong dn jg soleha??,0
"B aja,,cma cantik dan bertalenta??",0
Pgin menuju KUA sprt khayalan tingkt dewa buat beli  bedak sja gk ckup gajinya aplgi kbuthn yg laen ??????,0
Pengen ku pakek kan baju gamis syar'i sama jilbab.  Biar andem liat Nya,0
Jujur saya mah pengen lihat dirimu menutup aurat pasti geulis pisan??.,0
Pengen nglamar,0
Kek ada keturunan arab? nya gitu,0
"Pengen nikahin sii kalo jujurmah ,cuman sadar diri weh hehee??",0
Pengen di Ajak nikah tapi Gak mungkin ka dinar nya mau ??????,0
Pengen q gondol k KUA ????.. tp apa daya q hanya manusia biasa.. ????????,0
Bajunya dirapihkan lagi kakak cantikkk.. kreativitas yang lain yang di tunjukkan ya...kakak Dinar yang cantikkk ??????,0
Pngn bikin teh Dinar jadi ukhti kaya ustadzah,0
Selalu jadi diri sendiri dan itu luar biasa ??,0
Andaii dinar jd cwe trtutup pasti jd bnyak yg antri pgn nikahin,0
"Pengen aja nikah, keburu diambil orang. Tapi mustahil??",0
Tobat sudah jgn bikin malu orang tua.,0
Kagettt . Kak Dinar kaya orang Belanda .. cuantikkkkkk bangetttt,0
"Hayu kak, segera tutup aurat ?? love you kakak",0
@dinar_candy Kalau gue si pengen gua halalin tapi engak mungkin banget sedangkan kamu artis lah gua orang biasa aja hahaha ????,0
Bayangannya ya pingin ngajak nikah terus ......terus......terus.....??????,0
Pakai hijab pasti lebih cantik??,0
"Bukan gitu mba , kami sayang mba , takutnya nanti udh nikah suami mba jadi gk surprise , jadi nanti keliatannya biasa aja, abis itu suami mba nanti malah cepet bosen ??",0
"lbh cantik & kelihatan auranya klo pake baju rapih ,lbh berwibawa????????",0
"itu bukan baju olahraga ci itu bikini,mening beli baju olahraga biar gak terlalu ngumbar gitu,sekedar ngsih saran",0
Saya suka sama rambut lurus poninya??,0
Cantik kk. Smngt,0
Syukaaa baguss bangettt kakk tubuhnyaaa????,0
Gw sih netral ajh ga mau ikut ikutan yg penting urusan dia idup2 dia gw ga ikut ikutan,0
Msa kga ingettt msih byi ajaDi bedong . . di tutupin seluruh tubuh nya. . msa udh gde d liat2. . akhlak nya pke dongJg pinter doang,0
Banyak yg ngiri sama si Denise cantik dan super sexy..makanya pada memaki dan sumpah serapah..kasihan dech...Semangat dan maju terus buat Denise sayang lattihan terus..asah talenta yg kamu punya .????????,0
"Gini ya kakak cantik kaka emang gk salah mau pake baju apa aja tpi kita yg ngeliat juga kena dosanya karna nheliat aurat kaka apalagi kalau yg liat kaum adam kan dosa bgt kak,mau nggk di liat kuga tiba2 nongol??",0
"Lagian ini jga kn badan badan dia ampun dah,mau dikata nnti suaminya jdi gk suprise jga urusan dia ama suaminya.ngapa pda sok mikirin bgt..uda pikiran aja suami masing masing.",0
Kok pd ribut si..Terserah dia la mau pke baju n gk pke baju. Dia kan gk ganggu xan. Urusin diri masing2 aja lebih baik.,0
Pamer aurat gak baik,0
Gw mah aman2 aja.. Terusskan lagi.. Gass trus.. Gw support.. Hahahaha,0
Ini bagus bgtttt... sehatttt????,0
Bagus kok badannya.. gumusshh.,0
"Gapapa kak @denisechariesta55, masing masing orang punya cara untuk berkarya dan menghidupi kehidupanya?",0
Body nya msih natural,0
"Enggak kak aku gk ada masalah kok sama bajunya, seneng aku malah liatnya ??",0
"Ka Denis badannya bagus bgt yah, dari dulu sh yah, udh cantik, bdn bagus, mulus, baik lgi, sukses terus dlm pekerjaan dn segalanya yah.",0
Kita hanya melakukan dosa yg berbeda. Biarkan dia memilih dosanya sendiri seperti km memilih dosa km sendiri. ... positifthinking...,0
"Ibarat permen, mahalan mana yg terbungkus ato yg terbuka?",0
Aurat mbakkk auratttt gak malu apa yaa astaga,0
Mirip nii dr hidung nya mata nya bibir nya pkok ny daerah muka sama @lucintaluna_manjalita kaka paling manjah,0
Manis nya,0
eneng cantiknya alami,0
neng cantik semoga sehat selalu di beri riski yg banyak,0
Sempurnah te gotik,0
"gotik kok cantik manais,klo mandi pake sabun apa tik gotik,salam ma dulor cewek,bu haji soimah tik gotik",0
Mmm.. Makin cantik ajj.. ??,0
Cantik banget deh ????,0
Tteh cantik.. aku ngfans,0
"Cantik adalah anugrah,tpi memang kmu cantik",0
Jujur aku lebih suka muka nya mba gotik yang dulu imut dan gak membosankan,0
Neng tratir makan bakso,0
Chantik super kaka,0
Mlm gotix,0
Tante zaskia catik bangettttt??????,0
Warnanya mirip lip matte berl ????,0
Kamu cantik banget,0
Neng gimna kbr nya??,0
Wduh tambah cantik aja nih kakak gotix,0
Kira kira kapn mau konser ke Jambi,0
Neng gotik making cantik aja sich...,0
"Mbak gotik kalau lagi live di indosiar sebutin namaku ya"""" biar agk tenar dikit mbak...Hehehe",0
Mantap teh cantik bngt  teh zaskia,0
tuh rmbut ny kira2 wrn ap y ka,0
Cantik jngn di. Oprek2 lg muka nya y itu udh cantik,0
Mantab muka nya ya cantik,0
Wajahnya wajah mahal,0
Kerja terus! Kapan nikahnya?,0
???? Wow keren banget Neng..,0
"khidupan seorang artis mah udah biasa,tinggal tunggu nanti aja hasil nya gmna ...allah sudah sdiakan tmpat yg pntas buatna ...",0
"keliatan dri mata nya lg sedih bgt,,,sabar y,,,allah selalu ada buat neng",0
Cantik bgt teh.. zaskia.. kasih dong tips2 nua,0
"Cantik,imuot lgi????",0
Mkn cantik aja kmu neng,0
Cantik anggun mempesona,0
Aurat nanti dosa,0
Aurat ya jangan disebarin,0
Kmu cantik tth gotik,0
"Kecantikn,  keindahan, keistimewaan, semuanya karna allah..",0
Dres ny kerennn bingitt tetehh,0
"Smg selalu menjadi org baik gotik,tetap bekerja keras,,cantik ,selaku asyik dan heboh,,,,keren gotik,,,",0
Maniss,0
"Bajunya ya alloh,ga sopan",0
Cantik teh . tp syg bajuny.. Jd ny agk kurang enk d lht,0
Kayak boneka,0
Islam tidak mengajarkan untuk ngeperlihatkan aurat2 khususnya wanita.  Astagfirullah,0
Kaka bisa pakai baju yang agak sopan.tetapi kakak masih cantik kok..????,0
Mba aurate mbak,0
Cantikny neng.....,0
"astagfirulloh, tutup auratnya neng @zaskia_gotix",0
Neng km sll cantik ttap rendah hati ya.. Semangat biar babu pergi dia akn sll ingat ma kmu ...sbg tmn yg terbaik....,0
Cantik banget tth,0
Luar biasa.. cantiknya kebngetan??,0
Bajunya bagussss bgt,0
K. K cantik klo pakai baju itu,0
Gotik  cantikk  banget,0
Neng gotik cantiknya kebangetan....??,0
Mirip boneka cantiknya kebangetan,0
Bagus bajunya....yg makai cantik pas bngt,0
Si eneng kliatan abis nangis itu,0
Zaskia mah diapa2in aj jg cantik udh dri orok cantik,0
"Jadi ingat masa lalu kita lagi bareng sama neng gotik,,pingin ngobrol bareng lagi",0
"Neng otik cuanntiiikk buuaangettt,,fans bangeett deh sama neng..sukses sllu ya neng??",0
"Astagfirullahallazim,mdh2an cepat insaf ,dan dapat hidayah dr alloh SWT.",0
@zaskia_gotix nah teteh cantik bgt klo rambutnya kaya gni keliatan natural cantiknya??????,0
Tlong di polow ig aku,0
Sumpah celanya bagus banget niyip????,0
Syg artis teridola ku kedua ny harus berfisah.. Pdahal dl wktu gading nyatakan Cinta ny k gisel d panggung acara inbok..terharu melihat mreka.  Tp syg bahterai rmh tangga mreka tdk langgeng..,0
Parah komen2 nya sabarrr ea gisel love u??,0
"Semangat untuk lebih baik gisel,karna hidup sekali dan gunakan kesempatan yg ada utk mengikuti firman Tuhan Yesus.",0
Yg komen rata2 orang yg ga pernah berbuat salah dalah hidupnya????,0
Cantik gempi tmbh pinter y sayang,0
Buat kalian yg komen yg TDK TDK..sadarilah bahwa kalian juga pernah bikin salah dan dosa teman.. JD sudahlah stop bullying.  Kecuali kalian org yg tanpa dosa..silahkan kalian ngejudge..tapi buat kalian yg merasa org berdosa juga..stoplah nge bully org,0
Mama isel beli sepatunya dimana ya?? @gisel_la,0
Kapan ya punya teman punya peternakan domba dan sapi sendiri. Mau dong ikut kesana jadi teman dan jaga sebentar,0
Lagunya bagus..,0
Gempi  cantik bgd mirip mamanya ??,0
"Emang kudanya suka sm mami isel, kucing w juga kek gitu. Ga usah dipikirin perkataan orang2 jahil kak isel.",0
"ka,kalungnya beli dmn sih,cantik ih",0
Gisel kemeja nya beli dmn ya ?,0
baguss bgt bajunya kaa ??,0
Itu temptny dimn ka,0
"Ini di mana sih tempatnya? Penasaran dg alpaca, llama dan keledainya",0
Si gempi tambah cantik aja nih bund ??,0
gisel makin cantik??,0
Mba gisel yg sabar,0
Lucunya anak gisel?,0
Cantik banget kak gisellll??,0
Gk cuma gajah yg ninggalin gading ternyata gisela jg ninggalin gading,0
Semoga yang komentar pelecehan seksual bisa dilaporkan Gisel agar ke depannya para komentar bisa membedakan candaan yg pantas dan tidak pantas.,0
Gisel cantik bgt??,0
Mama icel yaowooh cakep bat ??????,0
Bisa ga komentar nya jgn kurang ajar???,0
"Orang2 pada gini banget, udh minta maaf masih dibully. Kek diri sendiri udah suci aja ??",0
Yang komen berasa diri nya paling suci.. paling bener.. Kita semua pendosa dengan cara yang berbeda,0
Suka Ama bajunyaa??,0
Makin cantik aja mama gisel,0
Cantik banget ka gisel ??,0
Keren bgd gisel??,0
"Nikmati aja prosesnya, gagal tinggal ketawa, ditipu anggap sedekah, masih muda jangan baperan, cape boleh , nyerah jangan !!!",0
"Mama isel, kemejanya beli dimana",0
Nanya dong... dimana ini ya???,0
Baiknya dibatasi aja kolom komennya mama @gisel_la banyak komen2 gk baik ????nyebelin????,0
Sepertinya gempi excited sekali ??????,0
"manusia jika  melakukn 1000 kebaikn tp, jk da 1 kli  keburukn kan, ke hpus yng 1000 kebaikn ??miris y,",0
Hii mami gisel tambah cantik aja,0
Iri bgt gue sama body Lo!????,0
cantik bgt mas,0
Ya allah saya yg perempuan iri liat body nya,0
Body nya menbagongkan ????,0
Pose sama papa urson dong kak??,0
Wooow sekseeh ratu .kalah Eike bodynya,0
mengirii sm bodinyaaa??,0
Pria punya selera??,0
Cowok cantik,0
Lagi cari jodoh di kolom komentar ??,0
Udah ga sm papa our son kah ratu,0
You look so pretty ??,0
Cantiik banget sih kak body nya muluus....,0
Knp sih komentar ny pda koment julid . Kaya kalian udah sempurna ajah...,0
Bntar?... Gk real si ini...??,0
Body bgus cantik montok????,0
"Cakep,",0
"Mau liat kak lucinta pake baju yg gag selalu terbuka . Sesekali . Soalnya pernah liat yg pas awal awal muncul di tv . Pake baju agag tertutp , cantik bbget elegant . Aku suka bbget . Tp aku memang pengagum kecantikan kak lucinta . Muuach muuachh",0
Kok bisa ya laki laki berubah gender jadi perempuan,0
Tips bisa pnya bokong kek ratu gmn si??,0
Muka sama body nya itu loh ???????? bikin iri ??????,0
"Maaf, kl pgn penampilan jadi perempuan setidaknya tdk mempertontonkan aurat perempuan.. Hendaklah saling menghargai.. ??",0
"cape bgt aku, pengen cantik kaya milen:(",0
"Disini,saya sebagai wanita,merasa tertampar...",0
Kayaknya dia membutuhkan case baru,0
Kok bisa bagus ya...aku kok g gitu y,0
Masuk angin ga siihh lenn ???,0
Gue inspektur melihat body nya??,0
"Kalau dunia engga baik ke kamu, kamu tetap harus baik ke dirimu sendiri",0
indahnya pemandangan,0
Kentut anya pasti wangi,0
Tinggi bnr kek cita2 gua,0
Anya kok nakal si sekarang,0
"walaupun aku tidak bisa memiliki mu, setidaknya aku sudah melihat gambar bikini mu.",0
jgn lupa kerokan tkt masuk angin eh,0
"Di liat dosaaaa, gk di liat mubazirr, yaowohhh ampunin baim yaowohh, aminn ??????",0
Bagusnya pantainya,0
"oh jdi kyak gni,makasih anya jdi bisa tmbh ilmu??",0
Panjang bgt kakinya,0
Jan sampee laki gue ada disini,0
"ehem,, ngapain tuh?????????",0
mantap ??,0
Dia umur nya brapa ya..?,0
Suka fotonya...,0
Kalo dalam pelajaran IPS namanya Westernisasi ??,0
GMN cowok nggak pada gila kalo di  posting kaya gini,0
Kalo dijalan raya pake gini dilihat orang banyak dikatain apa yak? Bukannya di medsos sama yak dilihat khalayak ramai?,0
Dia makin BERANI buka2an yaaa ? Biar apa sihh...,0
Anya berhak bahagia.dan anya pun membahagiakan orang lain...mkshi vitamin nya????????,0
anya sayanggg kan aku bilang kalau kepantai harus pake daster??,0
Cantik kak,0
"Anjay lebih demen pcran pas sm mantannya yg ono, pcran sm yg skrg maen nya terang? an wkwk mamakmu menangis melihat ini haha",0
"@c.kirano oiii jangan di bully lah eyke , aku hanya lelaki yang wajar melihat foto ini ??",0
Kapan body akoh gini yaa @beslyirawan,0
@sandyosel lau ngebayanganin jd yg ambil videonyan kan... ??,0
 kayak gw yah gemesin,0
Tingginya berapa @anyageraldine? Jenjang bgt ??,0
Cantik Tinggi semampai??????,0
Astaghfirullah punya tubuh bagus tapi untuk dinikmati semua orang.. simpanlah tubuhmu yg indah untuk suami kamu anya.,0
"Teh awas masuk angin , jgn lp minum tolak angin.",0
Indah sekali pemandangan nya??,0
Nyesel gua mutusin anya waktu msih playgroup??,0
Gk punya baju kasian??,0
Beliin baju mau nyaa??,0
anyageraldine emang seksi yg dptn km pasti beruntung bangt ??????,0
Pasti mama nya langsung spam wa tentang azab kubur ??,0
"ini ortu nya lihat apa nga, klw anak nya begini, apa nga di tegurr anak nya seperti ini..",0
Cameraman terpesona gatuh??,0
Sayang jangan main jauh jauh. Nanti aku kangen??,0
Aku tidak melihat keburikan disini ??,0
Itu mamakny gk marah apa klo anak perempuanny berpakaian  ngumbar ??,0
Pake baju mbk masuk angin nanti ??,0
Tutuplah auratmu sebelum neraka menjemputmu??,0
Padahal emaknya sering ngingetin azab kubur. Ehh malah bablas umbar badan. Kasihan nanti orang tuanya diminta pertanggungjawaban.,0
Anya kamu teh orang indonesia bukan bule,0
Hanya Anya yg pake bikini gak dihujat malah dipuji,0
"Dlu aku kira prempuan ini mempesona, elagant dan berwibawa, ternyata semakin dewasa pikiranku yg kyak gni mlah terlihat biasa aja, mlah terlihat tidak spesial. ??????",0
Kenapa makin lama pakaian begitu sih kak:(,0
Cakepp bener bule lokal??,0
Body ny bguus eyyy??,0
Bangga kah memprtontonkan bentuk tubuh.??,0
Kaka auratnya di jaga ya,0
"Sopan dikitlh Klo bikin konten di IG, Padahal Udah mau nikah",0
Kata nya tertekan nikah dijodohin tapi ini merasa bahagia ?????? kalau uang nya banyak ga bakal,0
Hargailah mertua mu yg sudah mengizinkan anaknya menikahimuu,0
Hahahahaaaaa nanti di tuntut sama pihak susu kental manis nangeeesss,0
"Apa mksd,ny s bikin konten sopn donk dikit????",0
Yg sopan mba,0
Artis ko gtu akhlak nya buat konten kaga mendidik??,0
Kak buat konten olahraga dong sampe yg keringetan2 gitu ??????,0
"Jaman dulu orang terkenal karna maksiat itu malu, sekarang orang terkenal karna maksiat itu bangga.",0
Klo mau buat konten yg sopan donk jgn gitu nampk x murahan??,0
"Nasib baik keluarga nya kampungan gak main SOSIAL MEDIA, ????",0
apasih poinnya? cuma nunjukkin kenggak jelasan,0
"Gerakannya maju mundur, padahal lagi d kerokin",0
Cupi klo bikin post diig kyk gt emang ngk malu sama kluarga calon suami! Begitu adegan kaya film porn tau teh..,0
Yg jd suaminya hrs istighfar setiap hari... ??,0
",entar gitu brantem sama suami????",0
"Itu di apain sih ko gerak""???? pkiran ku ya Allah astgfirullah??",0
ASsalamualaikum.Mba Cupitagobas19 Kerja Syuting Sukses Semangat Rezeki Tambah Dewasa Dan di Syg Keluarga :),0
Gw msh polos jgn gitu donk,0
Biar apa ya kak? Wkwk yuk berkonten yg lebih bermanfaat ??,0
awal ngeliat kaget dong @rheina.maulida,0
kalian aja yg pikirannya negatif.??,0
Calon suami mu gak marah kak?,0
"Hobi nya julid terus sama orang, positif thinking aja mungkin mba nya lagi di pijat. Heran sama netizen apa? selalu disudutkan pada hal negatif.",0
maksudnya apa sik?? unfaedah bangt bkin konten gk berkualitas wkk,0
Keluarga cowok pasti bangga lihat kreasinya...semangat,0
Lg dikerokkin keknya inituu,0
"Sama sekali tidak mendidik...berpendidikan tapi tak beretika,,mirissss!!!!!",0
Apa reaksi calon mertuanya & sodara dr suamina liat konten ig ini????,0
Nie orang kelakuan y ky gini gak kesian apa ama kelrga y.....sma calon suami y jg,0
"Pasti Kakinya lagi di pijitin""",0
si teteh diem aja cantik ya teh??,0
Aurat nya kk????,0
Aurat nya atuh neng ??,0
Seksi di dunia siksa di neraka ??,0
@cupitagobas19 Kak cupi pengen body aduhai ky gt ajarin??,0
Kak cinta tambah cantik aja...aq ngefans sama kakak.....,0
Ko gue ngerasa biasa aja yaa ga seperti biasanya wkwk,0
Kayak moana????,0
Jadi laki harus kuat yaa ka @lucintaluna_manjalita,0
Apakah kamu bahagia begini @lucintaluna_manjalita..? Bertaubatla sebelum ajal menemuimu..,0
Ratu punya sretchmark jg ternyata,0
mau nanya dong. kan kak luna udh ganti kelamin ama perempuan. trs kelamin perempuannya ambil punya siapa ya?? apa punya org yg dah meninggal??.. trs yg kelamin laki2 dibuang aja apa dikubur kyk ngubur mayat,0
Mirip moana film disney kak @lucintaluna_manjalita ??,0
Astaghfiruallaah ya allaaah yaroobbb.??????. apa pantas beginiii . Orang islamm. Yg mempermalukan dirinya sendirii. Dgn bentuk tubuhnya yg sllu dipamerr.. apa kmu ga sadar kak itu sama sprti kmu tdk memakai pakaian  semoga kamu mendapat hidayah dr allaaah kak. Aamiin,0
Lain klo memang kmu laki2. Ga akan ada rasa malu ketika kamu memperlihatkan tubuhmu sperti itu..,0
aurat bundaa??,0
"Pasti pada ngezoom,..penasaran utk cek keasliannya??",0
"Suka sie SMA ka Luna ,tapi hormati lah kami sebagai perempuan ini ka jngan loh posting yg ada belahan nya ??,,Kaka pun keluar dari situ",0
Maksudnya apa si pake beginian,0
kok bisa ya postur tubuhnya hampir sm kaya cewe gitu? ??,0
Bagus bgt yah hebat loh ??,0
Senyumnya mantap,0
Gigih sangat. Kalau cewek ngak gini. Kami ngak tayang karna kami ori??,0
ADUHH RATU CANTIK NYAAA,0
"Kaya moana lama lama diliat yg kartun itu ,cantik ??",0
Aurat ibu ratu,0
Cantik ka2??????semangat terus ka ya... Semoga Kk selalu sukses amin????????,0
Astaga dosa ga nih liat nya,0
jgn terlalu seksi kk ntr Allah mrh lo,0
Klw berpakaian itu yang sopan katanya mau taubat,0
Wadidawwwwwwww kereennn  gilaaaaa ????????,0
Tp hamil koq perutnya datar ya?? @lucintaluna_manjalita,0
Pada coment tentang masalalu ll tapi giliran ktm aslinya pada minta photo pada mau jg kalau dikasih hadeh*kalau msih blm bs menahan diri baik nya coment yang baik*aja jangan pada nanyain dia yang di masalalu la ini la dasar,0
"Ulaallaaaa ratuu ada scrathmark juga ternyata., ?? sempurna",0
Alah tetep aja laki?,0
dedenya kemanaa??,0
Langsung insekiyur diri ini wkwkkw,0
tobat tobat COWOK CEWE TOBAT??,0
Dosa berjamaah..hati2 kak auratnya bikin dosa,0
"Ada aneh2nya ,tp cantik ??",0
BENER BENER UDAH JADI CEWEK YAA WKWKWKWK,0
@riosemangat37  ngilu bngd dah liat nya????,0
Senyum nya manaa tante.... @lucintaluna_manjalita,0
Dia yang lakuin gue yang maluuu??????,0
Gw sbgai cwe malu ngliat ini??,0
Cewe asli mana mungkin begini cok???????? ngadi ngadi,0
Kalo dilihat dari pundaknya sih laki banget,0
Cantik bangat kk cantik,0
Iya iya udah jadi cewe??,0
Liat gini haram gak ya ???? bukan muhrim soalnya,0
TETEP GANTENG KOK,0
inikh yg kmu pertontonkn dn banggakn.. yg suatu saat nanti  PASTI akn kmu prtanggungjawabkn ??,0
Oh susah juga ya mana ada Transgender kek gini ??????,0
